date,time,turbidity_ambient,turbidity_tb1,turbidity_usb,rolling_avg_turbidity_ambient,rolling_avg_turbidity_tb1,rolling_avg_turbidity_usb,difference_tb1_ambient,difference_usb_ambient
4/27/2026,7:00:00,6.72,4.14,0.00,6.65,4.95,0.00,-1.71,-6.65
4/27/2026,7:15:00,7.40,3.95,11.58,6.80,4.75,3.86,-2.06,-2.94
4/27/2026,7:30:00,6.40,6.43,--,6.80,4.63,3.86,-2.17,-2.94
4/27/2026,7:45:00,7.77,5.44,0.00,6.96,4.81,2.90,-2.15,-4.06
4/27/2026,8:00:00,5.14,4.87,0.66,6.69,4.97,3.06,-1.72,-3.63
4/27/2026,8:15:00,5.61,6.12,0.00,6.46,5.36,3.06,-1.10,-3.41
4/27/2026,8:30:00,4.52,5.38,1.17,5.89,5.65,0.46,-0.24,-5.43
4/27/2026,8:45:00,5.58,4.24,1.04,5.73,5.21,0.57,-0.51,-5.15
4/27/2026,9:00:00,6.10,4.98,2.25,5.39,5.12,1.02,-0.27,-4.37
4/27/2026,9:15:00,6.06,5.96,2.98,5.57,5.34,1.49,-0.24,-4.09
4/27/2026,9:30:00,5.97,4.74,--,5.65,5.06,1.86,-0.59,-3.79
4/27/2026,9:45:00,6.52,4.25,1.82,6.05,4.83,2.02,-1.21,-4.03
4/27/2026,10:00:00,10.23,4.28,1.76,6.97,4.84,2.20,-2.13,-4.77
4/27/2026,10:15:00,6.75,4.82,1.91,7.11,4.81,2.12,-2.30,-4.99
4/27/2026,10:30:00,8.43,6.23,2.06,7.58,4.86,1.89,-2.71,-5.69
4/27/2026,10:45:00,6.87,8.85,1.20,7.76,5.69,1.75,-2.07,-6.01
4/27/2026,11:00:00,5.39,3.63,0.87,7.53,5.56,1.56,-1.97,-5.97
4/27/2026,11:15:00,7.59,4.62,1.24,7.00,5.63,1.46,-1.37,-5.55
4/27/2026,11:30:00,9.75,3.72,1.04,7.60,5.41,1.28,-2.19,-6.32
4/27/2026,11:45:00,9.95,5.81,--,7.91,5.33,1.09,-2.58,-6.82
4/27/2026,12:00:00,7.49,8.47,0.17,8.03,5.25,0.83,-2.78,-7.20
4/27/2026,12:15:00,8.48,5.16,1.42,8.65,5.56,0.97,-3.10,-7.69
4/27/2026,12:30:00,8.11,3.50,3.27,8.76,5.33,1.48,-3.43,-7.28
4/27/2026,12:45:00,7.15,1.98,1.00,8.24,4.98,1.47,-3.25,-6.77
4/27/2026,13:00:00,7.90,13.82,0.96,7.83,6.58,1.36,-1.24,-6.46
4/27/2026,13:15:00,8.12,6.10,1.75,7.95,6.11,1.68,-1.84,-6.27
4/27/2026,13:30:00,6.74,6.19,0.75,7.61,6.32,1.55,-1.29,-6.06
4/27/2026,13:45:00,6.94,5.05,0.43,7.37,6.63,0.98,-0.74,-6.39
4/27/2026,14:00:00,7.25,5.49,--,7.39,7.33,0.97,-0.06,-6.42
4/27/2026,14:15:00,--,5.61,0.84,7.26,5.69,0.94,-1.57,-6.32
4/27/2026,14:30:00,9.16,4.51,0.93,7.52,5.37,0.74,-2.16,-6.79
4/27/2026,14:45:00,8.46,6.13,0.55,7.95,5.36,0.69,-2.60,-7.27
4/27/2026,15:00:00,7.35,5.21,0.81,8.05,5.39,0.78,-2.67,-7.28
4/27/2026,15:15:00,6.49,8.12,0.73,7.87,5.92,0.77,-1.95,-7.10
4/27/2026,15:30:00,6.67,2.87,0.71,7.63,5.37,0.74,-2.26,-6.88
4/27/2026,15:45:00,7.62,3.13,0.96,7.32,5.09,0.75,-2.23,-6.57
4/27/2026,16:00:00,8.99,4.88,0.50,7.42,4.84,0.74,-2.58,-6.68
4/27/2026,16:15:00,7.52,4.53,--,7.46,4.71,0.72,-2.75,-6.74
4/27/2026,16:30:00,7.92,3.84,0.86,7.74,3.85,0.76,-3.89,-6.99
4/27/2026,16:45:00,--,4.51,1.17,8.01,4.18,0.87,-3.84,-7.14
4/27/2026,17:00:00,6.54,3.16,1.35,7.74,4.18,0.97,-3.56,-6.77
4/27/2026,17:15:00,7.83,4.32,0.79,7.45,4.07,1.04,-3.38,-6.41
4/27/2026,17:30:00,5.11,5.79,0.81,6.85,4.32,1.00,-2.53,-5.86
